element,name,GW,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,transfers_in,transfers_out,transfers_balance,selected,value,round,influence,creativity,threat,clearances_blocks_interceptions,recoveries,tackles,position,team,opponent_team,was_home,kickoff_time,fixture,team_h_score,team_a_score
603,Lienou,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1370,285,1085.0,0.1,40.0,1,0.0,0.0,0.0,0,0,0,DEF,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
604,Cresswell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2658,630,2028.0,0.1,45.0,1,0.0,0.0,0.0,0,0,0,MID,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
350,A.Becker,1,2,90,0,0,0,2,0,0,0,0,0,3,0,7,1.8,0.0,0.0,0.0,1.58,1,20505,17918,2587.0,3.8,55.0,1,17.8,0.0,0.0,2,6,0,GK,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
351,Mamardashvili,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,589,1841,-1252.0,0.2,50.0,1,0.0,0.0,0.0,0,0,0,GK,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
352,Woodman,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2773,4858,-2085.0,1.1,40.0,1,0.0,0.0,0.0,0,0,0,GK,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
16,Madueke,1,1,22,0,0,0,0,0,0,0,0,0,0,0,8,5.3,0.0,0.04,0.04,0.15,0,1151,7038,-5887.0,0.3,64.0,1,9.4,43.1,0.0,0,2,0,MID,Arsenal,Coventry City,True,2026-08-21T19:00:00Z,1,3.0,0.0
17,Merino,1,1,14,0,0,0,0,0,0,0,0,0,0,0,5,1.9,0.14,0.02,0.16,0.15,0,2149,13708,-11559.0,0.6,60.0,1,3.6,1.2,14.0,0,2,0,MID,Arsenal,Coventry City,True,2026-08-21T19:00:00Z,1,3.0,0.0
353,Pecsi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,418,-418.0,0.0,40.0,1,0.0,0.0,0.0,0,0,0,GK,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
354,Jaros,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,134,159,-25.0,0.0,40.0,1,0.0,0.0,0.0,0,0,0,GK,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
355,Davies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,563,622,-59.0,0.1,40.0,1,0.0,0.0,0.0,0,0,0,GK,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
356,Virgil,1,2,90,0,0,0,2,0,0,0,1,0,0,0,8,5.1,0.25,0.01,0.26,1.58,1,63291,66634,-3343.0,19.6,65.0,1,25.6,1.6,24.0,9,6,2,DEF,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
358,Kerkez,1,0,90,0,0,0,2,0,0,0,1,0,0,0,3,4.4,0.02,0.02,0.04,1.58,1,12895,29029,-16134.0,3.6,55.0,1,18.0,13.8,12.0,4,3,3,DEF,Liverpool,Newcastle,False,2026-08-23T15:30:00Z,9,2.0,2.0
